Status,Server,Name,Model,Processor,Proc. Count,Memory,Serial Number,iLO,iLO FW,ROM Version,Appliance Name
OK,"SBICDCENCL35, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz,2,131072,SGH942WLYJ,"1. fe80:0:0:0:af1:eaff:fe73:4712, 2. 172.16.43.253",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL13, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,393216,SGH111TRD5,"1. fe80:0:0:0:b67a:f1ff:feb2:b0e0, 2. 172.16.43.17",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL40, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,2,262144,SGH126YY85,"1. fe80:0:0:0:b67a:f1ff:fec2:c3b0, 2. 172.16.43.211",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
OK,"SBICDCENCL36, bay 8",sccppblresx176.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRDC,"1. fe80:0:0:0:b67a:f1ff:feb2:a070, 2. 172.16.43.166",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL38, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,196608,SGH126YY1W,"1. fe80:0:0:0:b67a:f1ff:febf:fa4c, 2. 172.16.43.188",2.55 Oct 01 2021,I42 v2.54 (09/03/2021),DC-Synergy1
OK,"SBICDCENCL41, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,65536,SGH126YY2G,"1. fe80:0:0:0:b67a:f1ff:febf:ca0a, 2. 172.16.43.214",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
OK,"SBICDCENCL34, bay 8",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,65536,SGH126YY1R,"1. fe80:0:0:0:b67a:f1ff:febf:fa3c, 2. 172.16.43.243",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
OK,"SBICDCENCL32, bay 8",SCCPPBLRESX389,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,393216,SGH234XPQQ,"1. fe80:0:0:0:5eed:8cff:fe2e:3ca8, 2. 172.16.43.124",2.60 Dec 06 2021,I44 v1.56 (11/29/2021),DC-Synergy1
OK,"SBICDCENCL31, bay 8",SCCPPBLRESX356.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,393216,SGH234XPQP,"1. fe80:0:0:0:5eed:8cff:fe2e:1c94, 2. 172.16.43.123",2.71 Jul 04 2022,I44 v1.60 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL30, bay 8",SCCPPBLRESX359,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,2,393216,SGH010TH26,"1. fe80:0:0:0:9640:c9ff:fe2a:2072, 2. 172.16.43.119",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL52, bay 9",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,65536,SGH107XK5V,"1. fe80:0:0:0:b67a:f1ff:fe47:9c0, 2. 172.16.43.77",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL53, bay 9",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,65536,SGH126YY20,"1. fe80:0:0:0:b67a:f1ff:febf:6b48, 2. 172.16.43.73",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL34, bay 9",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,65536,SGH127SMZ7,"1. fe80:0:0:0:b67a:f1ff:fec0:df5a, 2. 172.16.43.244",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL35, bay 9",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,65536,SGH126YY2D,"1. fe80:0:0:0:b67a:f1ff:febf:5b96, 2. 172.16.43.240",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL23, bay 9",sccppblresx219.sbicmpc.intneral,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRD1,"1. fe80:0:0:0:b67a:f1ff:feb2:d13a, 2. 172.16.43.43",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL22, bay 9",sccppblresx171.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRD3,"1. fe80:0:0:0:b67a:f1ff:feb2:b0ae, 2. 172.16.43.42",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL31, bay 9",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH107XK67,"1. fe80:0:0:0:9640:c9ff:fe2a:954c, 2. 172.16.43.116",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL32, bay 9",SCCPPBLRESX360,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,2,393216,SGH010TH1R,"1. fe80:0:0:0:9640:c9ff:fe2a:1004, 2. 172.16.43.117",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL36, bay 9",sccppblresx207.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2,393216,SGH044TPVM,"1. fe80:0:0:0:b67a:f1ff:fe4f:4362, 2. 172.16.43.168",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
